127.0.0.1 - - [08/Apr/2025:23:33:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:51 +0530] "GET /dedup2/Index.jsp HTTP/1.1" 200 5737
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:54 +0530] "GET /dedup2/Index.jsp HTTP/1.1" 200 5737
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:56 +0530] "GET /dedup2/Index.jsp HTTP/1.1" 200 5737
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:57 +0530] "GET /dedup2/Index.jsp HTTP/1.1" 200 5737
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:58 +0530] "GET /dedup2/Index.jsp HTTP/1.1" 200 5737
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:59 +0530] "GET /dedup2/user_signin.jsp HTTP/1.1" 200 7585
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:59 +0530] "GET /dedup2/js/easing.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:33:59 +0530] "GET /dedup2/js/move-top.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:02 +0530] "POST /dedup2/Usersignin HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:02 +0530] "GET /dedup2/assets/css/bootstrap.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:02 +0530] "GET /dedup2/assets/css/font-awesome.min.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:02 +0530] "GET /dedup2/assets/js/modernizr-latest.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:02 +0530] "GET /dedup2/assets/css/bootstrap-theme.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:02 +0530] "GET /dedup2/assets/css/da-slider.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:02 +0530] "GET /dedup2/assets/css/style.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:06 +0530] "GET /dedup2/assets/js/jquery.cslider.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [08/Apr/2025:23:34:06 +0530] "GET /dedup2/assets/js/custom.js HTTP/1.1" 404 789
